consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
-2.452,47.396,2,22.0
-2.452,47.66,4,18.0
-2.45,47.682,6,50.0
-2.446,48.423,1,50.0
-2.441,48.238,2,22.0
-2.434,47.275,2,22.0
-2.432,47.283,2,22.0
-2.431,47.325,2,22.0
-2.425,47.395,2,22.0
-2.424,48.189,1,50.0
-2.423,47.867,4,18.0
-2.418,47.803,4,18.0
-2.417,47.324,1,50.0
-2.416,47.324,2,22.0
-2.413,47.322,26,50.0
-2.41,47.284,2,22.0
-2.408,48.625,2,22.0
-2.408,48.635,1,22.0
-2.406,47.939,2,22.0
-2.404,48.043,4,18.0
-2.401,47.535,6,50.0
-2.398,47.481,4,18.0
-2.397,47.93,4,22.0
-2.392,47.429,2,22.0
-2.39,47.932,4,24.0
-2.389,47.286,2,22.0
-2.389,48.45,2,22.0
-2.388,47.285,2,22.0
-2.388,47.286,2,22.0
-2.388,47.92,6,50.0
-2.388,47.942,2,60.0
-2.386,47.927,2,22.0
-2.385,47.927,2,22.0
-2.384,47.81,6,36.0
-2.384,47.811,4,18.0
-2.384,47.915,9,100.0
-2.38,47.501,4,22.0
-2.376,47.758,4,18.0
-2.358,47.58,4,18.0
-2.354,47.636,2,18.0
-2.354,47.637,2,18.0
-2.35,46.728,2,22.0
-2.348,46.724,2,22.0
-2.346,48.274,2,22.0
-2.345,47.27,2,22.0
-2.344,47.481,4,18.0
-2.34,47.26,1,50.0
-2.328,48.656,2,22.0
-2.324,48.408,2,22.0
-2.319,47.447,2,22.0
-2.318,47.245,2,22.0
-2.317,47.449,2,22.0
-2.315,47.451,4,22.0
-2.31,47.314,2,22.0
-2.307,47.4,2,22.0
-2.305,47.53,4,36.0
-2.301,47.319,2,22.0
-2.297,47.517,4,18.0
-2.296,47.677,4,18.0
-2.294,48.253,2,22.0
-2.291,48.597,2,22.0
-2.285,47.631,4,18.0
-2.283,47.82,4,18.0
-2.283,48.082,4,36.0
-2.282,47.259,16,60.0
-2.281,47.919,4,18.0
-2.28,48.61,2,22.0
-2.279,47.726,4,18.0
-2.269,47.258,4,50.0
-2.264,48.529,2,22.0
-2.251,48.325,9,120.0
-2.25,47.29,2,22.0
-2.249,47.001,2,22.0
-2.248,48.641,2,22.0
-2.247,48.378,2,22.0
-2.24,47.447,2,22.0
-2.24,48.521,2,22.0
-2.238,47.263,6,50.0
-2.235,46.969,2,22.0
-2.23,48.522,2,22.0
-2.224,48.334,2,22.0
-2.22,47.713,4,18.0
-2.219,47.129,2,22.0
-2.218,48.433,2,22.0
-2.213,47.739,4,18.0
-2.21,47.287,4,22.0
-2.209,47.3,4,22.0
-2.208,47.29,2,22.0
-2.208,47.3,2,22.0
-2.201,47.384,2,22.0
-2.2,47.3,2,22.0
-2.192,47.136,2,22.0
-2.192,47.441,2,22.0
-2.192,48.191,2,22.0
-2.189,48.598,2,22.0
-2.187,47.318,2,22.0
-2.187,48.274,1,50.0
-2.18,47.352,2,22.0
-2.177,46.942,2,22.0
-2.176,48.348,2,22.0
-2.175,47.228,2,22.0
-2.172,48.189,2,60.0
-2.168,47.412,2,22.0
-2.164,47.265,1,50.0
-2.164,47.638,4,36.0
-2.162,47.248,2,22.0
-2.16,47.483,2,22.0
-2.159,47.481,2,22.0
-2.156,47.241,2,22.0
-2.153,47.545,4,18.0
-2.152,47.33,2,22.0
-2.151,47.204,8,22.08
-2.151,48.604,2,22.0
-2.15,47.326,2,22.0
-2.147,47.182,2,22.0
-2.145,48.58,2,22.0
-2.137,48.633,8,22.08
-2.134,47.766,4,36.0
-2.133,47.818,4,18.0
-2.132,46.831,2,22.0
-2.129,48.389,2,22.0
-2.128,47.93,6,50.0
-2.127,48.513,2,22.0
-2.126,48.358,2,22.0
-2.123,47.127,1,50.0
-2.123,47.906,4,18.0
-2.12,46.81,2,22.0
-2.119,46.88,6,50.0
-2.119,46.885,2,22.0
-2.11,46.81,2,22.0
-2.106,47.667,4,18.0
-2.105,47.746,2,18.0
-2.105,47.747,2,18.0
-2.103,48.632,2,22.0
-2.102,47.116,2,22.0
-2.101,47.631,4,18.0
-2.098,47.114,2,22.0
-2.094,47.653,2,22.0
-2.093,47.437,2,22.0
-2.092,47.34,2,22.0
-2.092,47.396,2,22.0
-2.089,48.006,2,50.0
-2.088,47.65,2,22.0
-2.085,47.433,1,50.0
-2.084,48.406,2,22.0
-2.081,47.433,6,22.0
-2.081,47.776,2,22.0
-2.078,47.436,6,22.0
-2.078,47.647,6,22.0
-2.077,47.55,2,22.0
-2.075,47.317,2,22.0
-2.075,47.435,2,25.0
-2.075,47.662,2,22.0
-2.07,46.8,4,24.0
-2.07,47.705,2,22.0
-2.069,47.642,2,22.0
-2.067,47.673,2,50.0
-2.066,48.624,2,22.0
-2.062,46.794,2,22.0
-2.061,46.79,2,22.0
-2.061,48.578,2,22.0
-2.059,48.465,4,22.0
-2.058,48.631,2,22.0
-2.057,47.121,1,22.0
-2.057,47.279,2,22.0
-2.057,47.475,2,22.0
-2.057,48.571,4,7.0
-2.057,48.609,1,22.0
-2.056,48.456,2,22.0
-2.056,48.532,2,22.0
-2.055,48.622,2,22.0
-2.049,48.199,2,22.0
-2.046,46.795,5,22.0
-2.046,47.585,2,22.0
-2.046,48.475,1,50.0
-2.045,47.208,2,22.0
-2.045,48.352,2,22.0
-2.044,48.45,2,7.0
-2.044,48.451,2,22.0
-2.043,48.442,2,22.0
-2.043,48.453,2,22.0
-2.042,47.509,1,22.0
-2.041,46.915,2,22.0
-2.04,47.081,2,22.0
-2.038,47.518,2,22.0
-2.036,48.608,2,22.0
-2.035,48.13,4,22.0
-2.031,46.79,30,24.0
-2.029,48.409,2,22.0
-2.029,48.456,2,22.0
-2.028,47.289,2,22.0
-2.023,46.761,2,22.0
-2.023,48.636,2,22.0
-2.022,48.65,2,22.0
-2.015,47.258,2,22.0
-2.014,47.363,2,22.0
-2.013,48.637,2,22.0
-2.01,48.303,2,22.0
-2.008,48.652,2,22.0
-2.007,48.646,2,22.0
-2.006,47.46,2,22.0
-2.006,48.351,2,22.0
-2.005,48.527,2,22.0
-1.999,47.065,2,22.0
-1.997,46.973,2,22.0
-1.997,48.649,19,120.0
-1.993,48.654,3,22.0
-1.991,47.653,2,22.0
-1.99,46.82,2,22.0
-1.99,47.892,2,22.0
-1.988,47.15,2,22.0
-1.988,48.622,6,50.0
-1.988,48.664,2,24.0
-1.987,48.626,14,50.0
-1.985,48.502,1,22.0
-1.983,48.487,2,22.0
-1.982,48.382,2,22.0
-1.982,48.658,2,22.0
-1.978,46.713,2,22.0
-1.975,48.598,2,22.0
-1.974,48.601,1,22.0
-1.973,48.658,6,22.0
-1.972,47.372,2,22.0
-1.971,47.414,2,22.0
-1.967,48.682,2,24.0
-1.966,47.411,1,22.0
-1.963,46.711,2,22.0
-1.956,47.042,2,22.0
-1.954,47.519,2,22.0
-1.951,48.25,2,22.0
-1.951,48.511,2,22.0
-1.95,48.138,2,22.0
-1.947,46.721,2,22.0
-1.946,47.356,2,7.4
-1.945,47.355,12,38.0
-1.94,47.359,2,22.0
-1.938,47.374,1,50.0
